iter	RMSE
267	15012.04342
268	14995.98065
269	14974.13519
270	14942.19096
271	14909.83515
272	14889.40481
273	14855.20951
274	14828.67044
275	14805.9607
276	14773.44762
277	14744.87149
278	14723.25354
279	14705.0002
280	14689.79202
281	14663.10784
282	14641.76199
283	14620.15684
284	14591.72783
285	14559.90427
286	14540.60488
287	14502.75042
288	14477.61318
289	14454.29828
290	14440.18915
291	14413.61427
292	14399.90572
293	14390.36288
294	14367.50864
295	14339.46765
296	14286.40349
297	14264.72582
298	14241.58412
299	14205.93816
300	14184.61257
301	14171.64701
302	14146.80436
303	14139.87649
304	14108.77392
305	14086.79734
306	14059.94512
307	14036.54512
308	14014.16989
309	13980.92856
310	13962.74764
311	13946.57584
312	13934.43882
313	13905.705
314	13869.56616
315	13827.75653
316	13790.12764
317	13769.92528
318	13758.74177
319	13749.62652
320	13726.73221
321	13684.62656
322	13661.6243
323	13641.5308
324	13631.61625
325	13597.47414
326	13573.00531
327	13539.94497
328	13519.46906
329	13510.12397
330	13484.10389
331	13464.09752
332	13443.58623
333	13416.64123
334	13392.77534
335	13372.8192
336	13350.27324
337	13322.89554
338	13301.83153
339	13273.87124
340	13257.57721
341	13222.62841
342	13191.91624
343	13165.27688
344	13140.85221
345	13117.33057
346	13092.10929
347	13069.50615
348	13043.15267
349	13011.77931
350	12994.35415
351	12967.5705
352	12959.43649
353	12935.3801
354	12913.9254
355	12889.12916
356	12867.60057
357	12848.1
358	12822.63256
359	12810.70532
360	12791.22817
361	12774.16059
362	12754.56902
363	12731.65675
364	12711.31224
365	12702.14315
366	12675.79795
367	12667.03086
368	12644.48718
369	12626.13636
370	12594.17498
371	12576.62397
372	12551.66858
373	12543.15371
374	12507.53753
375	12491.93842
376	12477.41103
377	12465.68332
378	12444.62789
379	12419.63964
380	12403.2014
381	12389.96552
382	12379.12974
383	12360.79701
384	12339.56997
385	12312.11327
386	12291.39173
387	12265.47523
388	12243.07996
389	12212.08649
390	12194.84346
391	12192.93898
392	12166.60259
393	12165.36082
394	12136.61126
395	12110.86751
396	12107.82185
397	12074.13818
398	12072.68824
399	12046.35786
400	12045.20515
401	12031.43932
402	12018.25087
403	12016.52132
404	11994.5454
405	11972.77696
406	11955.16347
407	11929.77773
408	11920.00315
409	11907.66046
410	11882.36601
411	11869.92697
412	11861.13163
413	11844.81694
414	11827.26291
415	11806.88535
416	11789.63788
417	11770.24247
418	11741.20474
419	11724.12957
420	11703.15279
421	11693.36356
422	11689.06269
423	11667.27075
424	11657.44022
425	11637.35824
426	11612.46469
427	11598.19756
428	11596.62669
429	11581.16329
430	11578.72307
431	11555.8094
432	11528.91527
433	11514.97611
434	11494.87694
435	11482.84967
436	11466.51766
437	11442.11522
438	11428.43074
439	11410.63974
440	11382.63353
441	11361.24091
442	11344.92962
443	11330.22674
444	11312.26599
445	11298.23512
446	11279.56194
447	11265.29068
448	11249.35561
449	11232.36453
450	11219.22569
451	11192.75815
452	11181.52041
453	11172.47563
454	11143.82223
455	11137.21134
456	11122.02111
457	11120.6764
458	11103.61464
459	11094.67331
460	11074.14078
461	11055.53315
462	11041.94655
463	11014.45887
464	11001.89655
465	10988.49957
466	10971.83223
467	10956.32204
468	10934.71577
469	10910.38519
470	10889.28481
471	10873.96306
472	10850.14057
473	10835.85769
474	10816.03244
475	10802.25732
476	10781.94119
477	10773.10428
478	10754.32153
479	10734.52906
480	10713.41317
481	10693.63168
482	10680.1541
483	10656.40588
484	10632.00601
485	10616.98981
486	10603.43265
487	10593.43542
488	10570.28667
489	10559.57193
490	10541.9695
491	10526.76352
492	10509.29947
493	10490.22794
494	10470.52557
495	10452.9823
496	10440.08892
497	10426.32218
498	10410.36018
499	10394.72165
500	10365.10051
501	10350.56625
502	10341.45991
503	10324.86042
504	10310.14806
505	10296.67876
506	10278.56862
507	10269.88303
508	10250.56023
509	10239.62278
510	10237.46538
511	10223.65834
512	10211.12128
513	10198.96625
514	10192.55165
515	10176.45819
516	10167.40526
517	10150.06126
518	10130.12252
519	10115.47702
520	10093.66611
521	10085.37193
522	10076.43904
523	10066.68634
524	10058.24549
525	10040.38924
526	10024.71943
527	10015.36549
528	9992.542721
529	9982.825398
530	9976.674772
531	9958.463107
532	9947.933356
533	9946.417354
534	9935.251612
535	9930.591999
536	9920.496349
537	9909.293562
538	9900.901761
539	9886.430288
540	9876.413272
541	9861.548046
542	9851.756812
543	9828.996199
544	9808.906964
545	9803.022638
546	9778.461041
547	9765.936696
548	9750.549807
549	9733.04122
550	9727.095507
551	9716.364348
552	9704.731887
553	9691.422262
554	9677.248496
555	9662.117575
556	9656.617118
557	9646.414751
558	9629.98837
559	9620.810183
560	9610.400692
561	9599.943775
562	9585.726981
563	9577.668961
564	9571.900317
565	9558.407305
566	9545.994546
567	9533.300351
568	9516.809656
569	9507.772074
570	9493.318222
571	9476.122818
572	9459.655411
573	9439.154238
574	9425.620791
575	9415.596021
576	9405.227288
577	9392.176204
578	9381.363944
579	9365.371451
580	9356.575548
581	9347.592148
582	9339.064809
583	9331.211525
584	9321.144875
585	9311.45477
586	9297.236274
587	9281.999034
588	9257.563037
589	9253.315681
590	9232.170355
591	9212.04793
592	9202.247762
593	9193.081468
594	9178.259605
595	9172.952975
596	9161.123658
597	9150.293369
598	9131.822364
599	9121.422458
600	9112.605496
601	9104.428751
602	9094.81169
603	9086.458691
604	9079.704692
605	9069.685235
606	9056.561387
607	9046.055455
608	9044.113839
609	9036.605313
610	9022.30304
611	9006.859107
612	8992.911298
613	8983.717716
614	8975.197548
615	8957.767875
616	8936.807032
617	8934.361247
618	8922.124047
619	8914.289068
620	8907.59995
621	8903.310344
622	8887.301973
623	8868.570035
624	8855.206411
625	8851.46944
626	8848.303948
627	8837.141968
628	8827.972342
629	8816.03406
630	8805.697456
631	8790.535599
632	8772.736633
633	8760.504125
634	8749.599416
635	8743.963305
636	8740.137204
637	8734.966046
638	8726.069736
639	8712.856583
640	8702.100878
641	8690.838768
642	8671.535661
643	8661.55597
644	8656.105217
645	8640.069341
646	8625.069062
647	8617.375735
648	8606.43096
649	8600.991472
650	8593.503828
651	8579.279456
652	8573.973764
653	8565.035683
654	8558.851709
655	8543.378188
656	8529.820707
657	8517.329672
658	8504.976
659	8498.247887
660	8495.551172
661	8479.800802
662	8468.255169
663	8457.312096
664	8445.960926
665	8433.854929
666	8423.874319
667	8409.7067
668	8393.281008
669	8383.099786
670	8377.10472
671	8367.552866
672	8360.202796
673	8348.112171
674	8341.676572
675	8340.469819
676	8327.863937
677	8315.476175
678	8307.430525
679	8296.855617
680	8286.188451
681	8276.904758
682	8275.623751
683	8267.770204
684	8260.268678
685	8257.568359
686	8253.00024
687	8252.230258
688	8239.892979
689	8227.885795
690	8225.624873
691	8213.508151
692	8212.661412
693	8206.308594
694	8202.97081
695	8194.837209
696	8184.004255
697	8169.925541
698	8156.912094
699	8145.219535
700	8133.718226
701	8123.698267
702	8113.209374
703	8112.438884
704	8104.676408
705	8097.978096
706	8096.803421
707	8084.10004
708	8072.438028
709	8064.151546
710	8054.961194
711	8049.149152
712	8037.795715
713	8021.754772
714	8014.170217
715	8010.421393
716	7998.30724
717	7990.872459
718	7989.712779
719	7977.650947
720	7976.735143
721	7969.102056
722	7956.705704
723	7946.823982
724	7939.117522
725	7936.427609
726	7927.08486
727	7921.186395
728	7905.46928
729	7901.105097
730	7891.769076
731	7885.240301
732	7883.126512
733	7874.864318
734	7867.203525
735	7866.022602
736	7856.771867
737	7850.116036
738	7841.291342
739	7832.070673
740	7825.274108
741	7824.559184
742	7814.779109
743	7807.26619
744	7806.718091
745	7793.95166
746	7783.811527
747	7774.712802
748	7772.638977
749	7763.695148
750	7751.442399
751	7742.832531
752	7737.845817
753	7730.842641
754	7720.204861
755	7713.158906
756	7712.49536
757	7706.156169
758	7695.614218
759	7691.561324
760	7678.327363
761	7659.966875
762	7647.48074
763	7638.663873
764	7627.69255
765	7617.541393
766	7607.232638
767	7597.305624
768	7593.227882
769	7581.278401
770	7568.725468
771	7559.940789
772	7551.594063
773	7544.278168
774	7533.67264
775	7526.890882
776	7524.709774
777	7515.123699
778	7509.4064
779	7502.24476
780	7493.305686
781	7485.692266
782	7474.563053
783	7473.193083
784	7462.000545
785	7460.324532
786	7452.773256
787	7443.590773
788	7434.438633
789	7429.246444
790	7419.518245
791	7411.914083
792	7411.503402
793	7409.606333
794	7399.879544
795	7390.3237
796	7380.996606
797	7372.039873
798	7363.866437
799	7358.744729
800	7353.729382
801	7345.476823
802	7342.073721
803	7334.741204
804	7325.185694
805	7315.899826
806	7311.068803
807	7300.929637
808	7294.032537
809	7288.751724
810	7283.101228
811	7281.943438
812	7276.920937
813	7268.777413
814	7255.838349
815	7251.430248
816	7246.632933
817	7238.049358
818	7230.581703
819	7219.304673
820	7214.435555
821	7208.926038
822	7203.299422
823	7193.892878
824	7181.35671
825	7171.584655
826	7162.812024
827	7156.107944
828	7150.711551
829	7147.303853
830	7139.811681
831	7132.577306
832	7129.949479
833	7129.561614
834	7123.065157
835	7122.69257
836	7112.313926
837	7111.017008
838	7107.674846
839	7102.676355
840	7095.378518
841	7089.042314
842	7078.209577
843	7070.302817
844	7067.692951
845	7062.937158
846	7053.466563
847	7042.401819
848	7034.901908
849	7021.425961
850	7010.344512
851	7005.506031
852	6992.152007
853	6981.212374
854	6971.89323
855	6962.58009
856	6958.193705
857	6950.242811
858	6940.2267
859	6939.66325
860	6931.622915
861	6921.927718
862	6914.759063
863	6907.939921
864	6904.388251
865	6899.740651
866	6892.020259
867	6881.503856
868	6880.857383
869	6874.784711
870	6862.94276
871	6853.393331
872	6852.860657
873	6848.618869
874	6845.272829
875	6844.838052
876	6837.134514
877	6836.775204
878	6826.760916
879	6819.154852
880	6809.841137
881	6809.107663
882	6800.745873
883	6790.809213
884	6787.712979
885	6780.89901
886	6771.074423
887	6763.551985
888	6752.602932
889	6752.286402
890	6747.228714
891	6741.72598
892	6734.445075
893	6727.777857
894	6719.272492
895	6714.481207
896	6706.768739
897	6698.685586
898	6691.179102
899	6684.555373
900	6684.121096
901	6677.145951
902	6676.310908
903	6666.473441
904	6656.015284
905	6648.749177
906	6641.279742
907	6632.66472
908	6625.376373
909	6620.957605
910	6614.730722
911	6604.569265
912	6604.157576
913	6596.677893
914	6591.231973
915	6582.535062
916	6572.758342
917	6562.760133
918	6553.110042
919	6548.761568
920	6541.065744
921	6534.34262
922	6522.857121
923	6516.285516
924	6514.609376
925	6507.03086
926	6499.619124
927	6494.886483
928	6490.568198
929	6485.453738
930	6484.580499
931	6475.800309
932	6474.777005
933	6474.483697
934	6464.859741
935	6458.200018
936	6452.904223
937	6443.165464
938	6437.672187
939	6427.75712
940	6423.506505
941	6423.013225
942	6422.706865
943	6414.796968
944	6413.146129
945	6406.09432
946	6399.112989
947	6394.875443
948	6386.038203
949	6384.666017
950	6377.308126
951	6368.575169
952	6367.176835
953	6360.179722
954	6351.017684
955	6341.122026
956	6339.965301
957	6333.023244
958	6322.505969
959	6314.530717
960	6309.493389
961	6303.80129
962	6300.353577
963	6291.023957
964	6284.412372
965	6283.396423
966	6276.503575
967	6269.9701
968	6264.900395
969	6259.743519
970	6252.279272
971	6244.382425
972	6238.095386
973	6232.94978
974	6228.225557
975	6222.494783
976	6213.931338
977	6208.195126
978	6203.186275
979	6202.015624
980	6197.588975
981	6190.595192
982	6184.463139
983	6179.19818
984	6173.455213
985	6164.695561
986	6153.726662
987	6148.379441
988	6143.51539
989	6139.647698
990	6137.145917
991	6133.89313
992	6129.052461
993	6122.612374
994	6116.656672
995	6114.195199
996	6110.764665
997	6103.471144
998	6098.883646
999	6093.15746
